time_sec,chord_symbol,confidence
0.000000,F#m,0.096010
0.023220,Cm,0.088994
0.034830,C,0.090902
0.069660,A,0.092968
0.127710,Cm,0.094508
0.139320,G#,0.096231
0.150930,Cm,0.097268
0.220590,C,0.102155
0.232200,F#,0.105873
0.313469,Cm,0.101686
0.359909,G,0.107380
0.452789,C#m,0.106678
0.510839,Bm,0.096629
0.534059,G,0.096172
0.545669,Bm,0.095317
0.568889,Em,0.106192
0.592109,C#m,0.139627
0.789478,A,0.155885
0.893968,C#m,0.131892
0.928798,C,0.104291
0.952018,Em,0.132159
0.998458,G,0.175246
1.300317,Em,0.118290
1.648617,C,0.126635
1.683447,Gm,0.108427
1.729887,C,0.123221
1.915646,Cm,0.213592
1.950476,C,0.208185
1.973696,Cm,0.205486
2.066576,C,0.157021
2.113016,Em,0.141354
2.136236,G,0.152779
2.414875,Cm,0.125008
2.438095,G,0.121299
2.739955,Em,0.151219
2.786395,G,0.123944
2.809615,Gm,0.106190
2.821224,D,0.116534
2.832834,Dm,0.141535
2.960544,D,0.180952
3.123084,G,0.153214
3.146304,Dm,0.139178
3.169524,D,0.125837
3.181134,Bm,0.127482
3.947392,G,0.117680
3.959002,Em,0.126006
4.237642,A,0.196589
4.318912,Em,0.155374
5.038730,A,0.113529
5.061950,G,0.112176
5.073560,Dm,0.119899
5.189660,G,0.157287
5.398639,Bm,0.147920
5.514739,Em,0.154702
5.561179,Bm,0.157896
6.199728,Am,0.111646
6.594467,C,0.143705
6.617687,Em,0.163754
6.733787,C,0.187584
6.780227,Am,0.186396
6.931156,C,0.146783
7.325896,F#,0.119544
7.337506,D,0.143469
7.500045,Gm,0.130695
7.685805,D,0.130865
7.859955,Bm,0.183231
7.883175,D,0.202902
8.405624,G,0.120336
8.498503,Em,0.202528
8.510113,G,0.206471
9.613061,Bm,0.173712
9.752381,G,0.173869
9.949751,Em,0.126524
10.123900,F#,0.118357
10.158730,Bm,0.187333
10.298050,Gm,0.125973
10.321270,G,0.168530
10.425760,Em,0.167245
10.599909,G,0.173839
10.611519,Em,0.166573
10.634739,G,0.151772
10.739229,C,0.158564
11.818957,Am,0.124308
11.900227,D,0.162484
11.923447,Dm,0.174873
12.074376,D,0.182958
12.910295,Em,0.102735
13.676553,G,0.130215
13.699773,Bm,0.125023
13.722993,D,0.142801
14.071293,C#m,0.116706
14.698231,G#m,0.164937
14.733061,C#m,0.167673
14.756281,G#m,0.169446
