bar_index,start_sec,end_sec,beat_count
0,0.963628,2.461315,4
1,2.461315,3.959002,4
2,3.959002,5.456689,4
3,5.456689,6.965986,4
4,6.965986,8.475283,4
5,8.475283,9.961361,4
6,9.961361,11.447438,4
7,11.447438,12.945125,4
8,12.945125,14.431202,4
9,14.431202,15.940499,4
10,15.940499,17.426576,4
11,17.426576,18.912653,4
12,18.912653,20.387120,4
13,20.387120,21.768707,4
14,21.768707,23.219955,4
15,23.219955,24.601542,4
16,24.601542,26.099229,4
17,26.099229,27.620136,4
18,27.620136,29.094603,4
19,29.094603,30.661950,4
20,30.661950,32.066757,4
21,32.066757,33.634104,4
22,33.634104,35.062132,4
23,35.062132,36.617868,4
24,36.617868,38.080726,4
25,38.080726,39.590023,4
26,39.590023,41.087710,4
27,41.087710,42.538957,4
28,42.538957,44.094694,4
29,44.094694,45.592381,4
30,45.592381,47.078458,4
31,47.078458,48.587755,4
32,48.587755,50.085442,4
33,50.085442,51.583129,4
34,51.583129,53.115646,4
35,53.115646,54.590113,4
36,54.590113,56.076190,4
37,56.076190,57.597098,4
38,57.597098,59.071565,4
39,59.071565,60.604082,4
40,60.604082,62.101769,4
41,62.101769,63.622676,4
42,63.622676,65.085533,4
43,65.085533,66.594830,4
44,66.594830,68.092517,4
45,68.092517,69.590204,4
46,69.590204,71.087891,4
47,71.087891,72.585578,4
48,72.585578,74.071655,4
49,74.071655,75.592562,4
50,75.592562,77.090249,4
51,77.090249,78.564717,4
52,78.564717,80.108844,4
53,80.108844,81.583311,4
54,81.583311,83.104218,4
55,83.104218,84.601905,4
56,84.601905,86.099592,4
57,86.099592,87.608889,4
58,87.608889,89.094966,4
59,89.094966,90.581043,4
60,90.581043,92.078730,4
61,92.078730,93.599637,4
62,93.599637,95.097324,4
63,95.097324,96.583401,4
64,96.583401,98.092698,4
65,98.092698,99.590385,4
66,99.590385,101.088073,4
67,101.088073,102.597370,4
68,102.597370,104.095057,4
69,104.095057,105.569524,4
70,105.569524,107.078821,4
71,107.078821,108.599728,4
72,108.599728,110.097415,4
73,110.097415,111.606712,4
74,111.606712,113.092789,4
75,113.092789,114.602086,4
76,114.602086,116.099773,4
77,116.099773,117.597460,4
78,117.597460,119.060317,4
79,119.060317,120.627664,4
80,120.627664,122.102132,4
81,122.102132,123.623039,4
82,123.623039,125.109116,4
83,125.109116,126.595193,4
84,126.595193,128.092880,4
85,128.092880,129.602177,4
86,129.602177,131.099864,4
87,131.099864,132.597551,4
88,132.597551,134.095238,4
89,134.095238,135.604535,4
90,135.604535,137.102222,4
91,137.102222,138.599909,4
92,138.599909,140.097596,4
93,140.097596,141.606893,4
94,141.606893,143.104580,4
95,143.104580,144.590658,4
96,144.590658,146.099955,4
97,146.099955,147.609252,4
98,147.609252,149.095329,4
99,149.095329,150.581406,4
100,150.581406,152.102313,4
101,152.102313,153.600000,4
102,153.600000,155.097687,4
103,155.097687,156.606984,4
104,156.606984,158.104671,4
105,158.104671,159.613968,4
106,159.613968,161.076825,4
107,161.076825,162.597732,4
108,162.597732,164.095420,4
109,164.095420,165.593107,4
110,165.593107,167.102404,4
111,167.102404,168.611701,4
112,168.611701,170.109388,4
113,170.109388,171.607075,4
114,171.607075,173.116372,4
115,173.116372,174.602449,4
116,174.602449,176.111746,4
117,176.111746,177.609433,4
118,177.609433,179.130340,4
119,179.130340,180.616417,4
120,180.616417,182.114104,4
121,182.114104,183.565351,4
122,183.565351,185.074649,4
123,185.074649,186.502676,4
124,186.502676,188.093243,4
125,188.093243,189.637370,4
126,189.637370,191.123447,4
127,191.123447,192.621134,4
128,192.621134,194.142041,4
129,194.142041,195.709388,4
130,195.709388,197.137415,4
131,197.137415,198.635102,4
132,198.635102,200.051519,4
133,200.051519,201.456327,4
134,201.456327,202.942404,4
135,202.942404,204.289161,4
136,204.289161,205.775238,4
137,205.775238,207.238095,4
138,207.238095,208.747392,4
139,208.747392,210.245079,4
140,210.245079,211.742766,4
141,211.742766,213.240454,4
142,213.240454,214.738141,4
143,214.738141,216.247438,4
144,216.247438,217.745125,4
145,217.745125,219.242812,4
146,219.242812,220.740499,4
147,220.740499,222.249796,4
148,222.249796,239.480000,4
