frame_index,time_sec,rms_db,onset_strength
0,0.000000,-69.833717,0.000000
1,0.011610,-69.820503,0.000000
2,0.023220,-69.819061,0.000000
3,0.034830,-80.000000,0.000000
4,0.046440,-80.000000,0.000000
5,0.058050,-80.000000,0.000000
6,0.069660,-80.000000,0.000000
7,0.081270,-80.000000,0.000000
8,0.092880,-80.000000,0.000000
9,0.104490,-80.000000,0.000000
10,0.116100,-80.000000,0.000000
11,0.127710,-80.000000,0.000000
12,0.139320,-80.000000,0.000000
13,0.150930,-80.000000,0.000000
14,0.162540,-80.000000,0.000000
15,0.174150,-80.000000,0.000000
16,0.185760,-80.000000,0.000000
17,0.197370,-80.000000,0.000000
18,0.208980,-80.000000,0.000000
19,0.220590,-80.000000,0.000000
20,0.232200,-80.000000,0.000000
21,0.243810,-80.000000,0.000000
22,0.255420,-80.000000,0.000000
23,0.267029,-80.000000,0.000000
24,0.278639,-80.000000,0.000000
25,0.290249,-80.000000,0.000000
26,0.301859,-80.000000,0.000000
27,0.313469,-80.000000,0.000000
28,0.325079,-80.000000,0.000000
29,0.336689,-80.000000,0.000000
30,0.348299,-80.000000,0.000000
31,0.359909,-80.000000,0.000000
32,0.371519,-80.000000,0.000000
33,0.383129,-80.000000,0.000000
34,0.394739,-80.000000,0.000000
35,0.406349,-80.000000,0.000000
36,0.417959,-80.000000,0.000000
37,0.429569,-80.000000,0.000000
38,0.441179,-80.000000,0.000000
39,0.452789,-80.000000,0.000000
40,0.464399,-80.000000,0.000000
41,0.476009,-80.000000,0.000000
42,0.487619,-80.000000,0.000000
43,0.499229,-80.000000,0.000000
44,0.510839,-80.000000,0.000000
45,0.522449,-80.000000,0.000000
46,0.534059,-73.018517,0.000000
47,0.545669,-44.013515,0.000000
48,0.557279,-33.091217,0.000000
49,0.568889,-29.219631,0.096402
50,0.580499,-26.914219,5.907728
51,0.592109,-25.629490,3.493939
52,0.603719,-24.986500,0.842533
53,0.615329,-24.749840,0.258555
54,0.626939,-24.685844,0.204833
55,0.638549,-24.518036,0.167366
56,0.650159,-24.655159,0.294989
57,0.661769,-25.136459,0.366819
58,0.673379,-25.784649,0.128443
59,0.684989,-26.665916,0.081331
60,0.696599,-27.596279,0.178382
61,0.708209,-28.061577,0.233393
62,0.719819,-28.436409,0.266855
63,0.731429,-28.755043,0.196640
64,0.743039,-29.010441,0.115495
65,0.754649,-29.243736,0.330146
66,0.766259,-29.386681,0.342859
67,0.777868,-29.332565,0.164609
68,0.789478,-29.208633,0.242063
69,0.801088,-29.094303,0.240306
70,0.812698,-28.927265,0.315197
71,0.824308,-29.052242,0.280884
72,0.835918,-29.192356,0.217396
73,0.847528,-29.341988,0.040408
74,0.859138,-29.811436,0.203636
75,0.870748,-30.106819,0.055320
76,0.882358,-30.545284,0.182690
77,0.893968,-31.057098,0.097225
78,0.905578,-31.373554,0.171367
79,0.917188,-31.740623,0.213685
80,0.928798,-22.581570,0.125214
81,0.940408,-16.340542,0.282573
82,0.952018,-14.826034,8.459566
83,0.963628,-14.033231,6.386467
84,0.975238,-14.036912,1.238206
85,0.986848,-15.858880,0.097425
86,0.998458,-17.070068,0.091569
87,1.010068,-17.957012,0.422063
88,1.021678,-18.515720,0.433839
89,1.033288,-19.019623,0.150829
90,1.044898,-19.305828,0.391917
91,1.056508,-19.425732,0.562413
92,1.068118,-19.721134,0.410419
93,1.079728,-20.013485,0.173850
94,1.091338,-20.340611,0.493965
95,1.102948,-20.772800,0.673440
96,1.114558,-20.984016,0.338659
97,1.126168,-21.190678,0.373059
98,1.137778,-21.484013,0.403953
99,1.149388,-21.837440,0.480058
100,1.160998,-22.300529,0.201624
101,1.172608,-22.722309,0.530697
102,1.184218,-23.076992,0.363389
103,1.195828,-23.385952,0.406315
104,1.207438,-23.669151,0.435686
105,1.219048,-24.074036,0.424534
106,1.230658,-24.457912,0.261638
107,1.242268,-24.870747,0.277770
108,1.253878,-25.365589,0.330245
109,1.265488,-25.797958,0.263438
110,1.277098,-26.249863,0.356934
111,1.288707,-18.769035,0.201933
112,1.300317,-12.801433,0.823210
113,1.311927,-11.080661,7.087481
114,1.323537,-10.052159,6.893747
115,1.335147,-9.715266,1.598550
116,1.346757,-10.912002,0.260065
117,1.358367,-11.658135,0.223347
118,1.369977,-12.455745,0.375518
119,1.381587,-13.534925,0.426033
120,1.393197,-14.491899,0.497234
121,1.404807,-15.763055,0.606634
122,1.416417,-17.049473,0.356839
123,1.428027,-18.232437,0.266579
124,1.439637,-19.370720,0.522900
125,1.451247,-20.302807,0.316455
126,1.462857,-20.986488,0.246948
127,1.474467,-21.420681,0.414018
128,1.486077,-21.628189,0.402499
129,1.497687,-21.908424,0.652429
130,1.509297,-21.956360,0.193346
131,1.520907,-22.253769,0.307157
132,1.532517,-22.290993,0.512443
133,1.544127,-22.511864,0.725724
134,1.555737,-23.048264,0.422969
135,1.567347,-23.229561,0.373895
136,1.578957,-23.788841,0.311607
137,1.590567,-24.455704,0.435839
138,1.602177,-24.659840,0.524204
139,1.613787,-24.903854,0.350441
140,1.625397,-24.877640,0.357556
141,1.637007,-24.623993,0.611870
142,1.648617,-24.328846,0.660175
143,1.660227,-24.139927,0.434839
144,1.671837,-19.511765,0.524864
145,1.683447,-16.624241,1.934417
146,1.695057,-15.325866,4.962055
147,1.706667,-14.366500,3.015046
148,1.718277,-14.558398,0.715094
149,1.729887,-15.310040,0.199162
150,1.741497,-15.754449,0.484493
151,1.753107,-16.329365,0.509339
152,1.764717,-16.723751,0.306512
153,1.776327,-17.152428,0.227881
154,1.787937,-17.659229,0.288346
155,1.799546,-17.995995,0.505106
156,1.811156,-18.426876,0.335702
157,1.822766,-18.713928,0.323946
158,1.834376,-18.919792,0.447378
159,1.845986,-19.194809,0.243007
160,1.857596,-19.317055,0.318971
161,1.869206,-19.298645,0.364758
162,1.880816,-19.365326,0.333847
163,1.892426,-19.379879,0.380581
164,1.904036,-19.414364,0.313400
165,1.915646,-19.462158,0.276023
166,1.927256,-19.635418,0.333268
167,1.938866,-19.677284,0.406896
168,1.950476,-19.732586,0.472001
169,1.962086,-19.900948,0.614145
170,1.973696,-19.981125,0.213832
171,1.985306,-20.244854,0.412761
172,1.996916,-20.497574,0.381790
173,2.008526,-20.805210,0.264452
174,2.020136,-21.018368,0.324930
175,2.031746,-21.220757,0.416847
176,2.043356,-21.470886,0.197416
177,2.054966,-21.680885,0.345927
178,2.066576,-21.742207,0.352684
179,2.078186,-19.942966,0.525096
180,2.089796,-19.142090,0.709162
181,2.101406,-18.332123,2.785180
182,2.113016,-17.809101,1.751855
183,2.124626,-18.219429,0.648899
184,2.136236,-18.421093,0.193814
185,2.147846,-18.868408,0.328692
186,2.159456,-19.519051,0.227052
187,2.171066,-20.038567,0.338932
188,2.182676,-20.387856,0.227953
189,2.194286,-20.882263,0.186627
190,2.205896,-20.791977,0.309115
191,2.217506,-21.226669,0.229571
192,2.229116,-21.933765,0.190807
193,2.240726,-21.894764,0.418772
194,2.252336,-22.099545,0.462337
195,2.263946,-22.646168,0.281818
196,2.275556,-22.476791,0.200341
197,2.287166,-22.848240,0.309570
198,2.298776,-23.531727,0.174917
199,2.310385,-23.247345,0.298093
200,2.321995,-23.397758,0.303593
201,2.333605,-23.938549,0.368211
202,2.345215,-23.862785,0.283422
203,2.356825,-24.211029,0.253957
204,2.368435,-24.541592,0.172621
205,2.380045,-24.281925,0.288399
206,2.391655,-24.623161,0.343124
207,2.403265,-24.996143,0.241258
208,2.414875,-23.309570,0.340131
209,2.426485,-18.463966,0.177748
210,2.438095,-16.482452,0.993338
211,2.449705,-15.448474,5.909412
212,2.461315,-15.087790,2.332522
213,2.472925,-16.079258,0.469887
214,2.484535,-17.175377,0.202661
215,2.496145,-18.230160,0.157548
216,2.507755,-18.931561,0.341053
217,2.519365,-19.470871,0.409333
218,2.530975,-19.770203,0.278897
219,2.542585,-19.725010,0.425817
220,2.554195,-19.691475,0.367649
221,2.565805,-19.842567,0.413142
222,2.577415,-20.045540,0.296732
223,2.589025,-20.279846,0.695574
224,2.600635,-20.625587,0.511628
225,2.612245,-20.886948,0.355149
226,2.623855,-21.219044,0.466326
227,2.635465,-21.521046,0.327888
228,2.647075,-21.898304,0.324179
229,2.658685,-22.185879,0.471650
230,2.670295,-22.576515,0.278603
231,2.681905,-22.911552,0.353068
232,2.693515,-23.220924,0.449213
233,2.705125,-23.520119,0.230773
234,2.716735,-23.684631,0.302696
235,2.728345,-23.870647,0.443607
236,2.739955,-24.097183,0.226087
237,2.751565,-24.402603,0.209803
238,2.763175,-24.676632,0.336228
239,2.774785,-25.332848,0.306192
240,2.786395,-25.881828,0.296061
241,2.798005,-24.851112,0.534128
242,2.809615,-20.333382,0.637833
243,2.821224,-18.035774,2.963197
244,2.832834,-16.442390,4.953082
245,2.844444,-15.481467,1.346627
246,2.856054,-15.425235,0.585289
247,2.867664,-15.671973,0.454760
248,2.879274,-16.147068,0.429406
249,2.890884,-16.734425,0.242566
250,2.902494,-17.587959,0.332370
251,2.914104,-18.316380,0.239608
252,2.925714,-19.121254,0.280089
253,2.937324,-19.915295,0.234939
254,2.948934,-20.626266,0.240750
255,2.960544,-21.374866,0.260804
256,2.972154,-22.008728,0.707341
257,2.983764,-22.652931,0.329931
258,2.995374,-23.202618,0.315391
259,3.006984,-23.554127,0.396160
260,3.018594,-23.847240,0.308914
261,3.030204,-24.217720,0.367649
262,3.041814,-24.680092,0.302395
263,3.053424,-24.961067,0.338667
264,3.065034,-25.208336,0.233328
265,3.076644,-25.463348,0.314285
266,3.088254,-25.660706,0.387253
267,3.099864,-25.876492,0.419355
268,3.111474,-26.230663,0.453705
269,3.123084,-26.550842,0.417016
270,3.134694,-27.053085,0.215269
271,3.146304,-27.336945,0.302786
272,3.157914,-27.579151,0.393292
273,3.169524,-27.905117,0.310811
274,3.181134,-25.758957,0.407868
275,3.192744,-22.768391,0.527716
276,3.204354,-19.775318,1.045016
277,3.215964,-18.654472,2.138791
278,3.227574,-17.521038,2.108002
279,3.239184,-17.542320,0.704094
280,3.250794,-18.074932,0.334546
281,3.262404,-18.142307,0.278531
282,3.274014,-19.041477,0.072650
283,3.285624,-19.193558,0.260380
284,3.297234,-19.867458,0.153241
285,3.308844,-20.295200,0.107505
286,3.320454,-20.895767,0.219944
287,3.332063,-21.328457,0.350375
288,3.343673,-21.418659,0.219408
289,3.355283,-21.835632,0.249761
290,3.366893,-21.730049,0.267757
291,3.378503,-22.067810,0.382520
292,3.390113,-22.223709,0.253702
293,3.401723,-22.586964,0.340732
294,3.413333,-22.684479,0.186783
295,3.424943,-23.100822,0.172453
296,3.436553,-23.469093,0.156048
297,3.448163,-23.636276,0.255869
298,3.459773,-24.273792,0.278956
299,3.471383,-24.230553,0.167950
300,3.482993,-24.656532,0.175012
301,3.494603,-24.758453,0.110192
302,3.506213,-25.159721,0.279609
303,3.517823,-25.213772,0.223003
304,3.529433,-25.593010,0.139648
305,3.541043,-17.757168,0.149112
306,3.552653,-14.013064,0.297793
307,3.564263,-12.601893,4.979368
308,3.575873,-11.714570,5.027298
309,3.587483,-11.973716,0.824701
310,3.599093,-12.994777,0.146970
311,3.610703,-13.773334,0.192097
312,3.622313,-14.520114,0.292469
313,3.633923,-15.289069,0.203051
314,3.645533,-16.290207,0.489934
315,3.657143,-17.374615,0.388531
316,3.668753,-18.570324,0.403674
317,3.680363,-19.904202,0.365782
318,3.691973,-21.337086,0.235821
319,3.703583,-22.546299,0.204509
320,3.715193,-23.514771,0.397728
321,3.726803,-24.281647,0.244227
322,3.738413,-24.919273,0.297392
323,3.750023,-25.181938,0.285256
324,3.761633,-25.463196,0.322079
325,3.773243,-25.770123,0.286183
326,3.784853,-25.883091,0.287935
327,3.796463,-25.984142,0.321862
328,3.808073,-26.034840,0.307375
329,3.819683,-26.236984,0.133266
330,3.831293,-26.518978,0.159374
331,3.842902,-26.928463,0.523536
332,3.854512,-27.317505,0.183764
333,3.866122,-27.477558,0.143361
334,3.877732,-28.017830,0.176228
335,3.889342,-28.483513,0.315492
336,3.900952,-29.127411,0.304249
337,3.912562,-29.768486,0.184702
338,3.924172,-24.470303,0.176054
339,3.935782,-22.344604,0.396269
340,3.947392,-21.089973,2.845344
341,3.959002,-20.349823,3.676077
342,3.970612,-20.664120,0.723799
343,3.982222,-20.680004,0.281936
344,3.993832,-20.264019,0.412911
345,4.005442,-19.681267,0.671607
346,4.017052,-19.354294,0.529026
347,4.028662,-19.077377,0.492634
348,4.040272,-19.083565,0.398654
349,4.051882,-19.160896,0.208873
350,4.063492,-19.228828,0.248847
351,4.075102,-19.432755,0.147628
352,4.086712,-19.617718,0.245129
353,4.098322,-19.715874,0.443088
354,4.109932,-19.918907,0.283511
355,4.121542,-20.079487,0.198641
356,4.133152,-20.192947,0.242021
357,4.144762,-20.441643,0.368286
358,4.156372,-20.627380,0.446316
359,4.167982,-20.757225,0.330268
360,4.179592,-20.921669,0.197531
361,4.191202,-21.033607,0.365842
362,4.202812,-21.041470,0.369918
363,4.214422,-21.292122,0.215458
364,4.226032,-21.532959,0.346762
365,4.237642,-21.644417,0.376198
366,4.249252,-21.886150,0.260723
367,4.260862,-22.073597,0.241428
368,4.272472,-22.258545,0.405434
369,4.284082,-22.543686,0.181576
370,4.295692,-22.825279,0.130039
371,4.307302,-22.965202,0.271910
372,4.318912,-23.095127,0.302870
373,4.330522,-23.048149,0.235758
374,4.342132,-21.231190,0.713992
375,4.353741,-20.281322,2.521187
376,4.365351,-19.501995,2.680208
377,4.376961,-18.785725,0.879681
378,4.388571,-18.936466,0.201557
379,4.400181,-19.068485,0.240852
380,4.411791,-19.365993,0.212902
381,4.423401,-19.714172,0.124834
382,4.435011,-20.338657,0.157227
383,4.446621,-20.718563,0.283043
384,4.458231,-20.939365,0.186487
385,4.469841,-21.326183,0.205407
386,4.481451,-21.615295,0.111327
387,4.493061,-22.069748,0.065751
388,4.504671,-22.455128,0.167058
389,4.516281,-22.888462,0.176582
390,4.527891,-23.216507,0.233241
391,4.539501,-23.441925,0.135995
392,4.551111,-23.632778,0.239741
393,4.562721,-23.957928,0.473418
394,4.574331,-24.248787,0.297407
395,4.585941,-24.212547,0.095741
396,4.597551,-24.334110,0.117393
397,4.609161,-24.507580,0.133257
398,4.620771,-24.520905,0.240646
399,4.632381,-24.699780,0.177444
400,4.643991,-24.871437,0.156715
401,4.655601,-25.099091,0.164228
402,4.667211,-25.237103,0.125222
403,4.678821,-25.535770,0.204664
404,4.690431,-25.943836,0.176108
405,4.702041,-26.013393,0.184629
406,4.713651,-26.261696,0.247687
407,4.725261,-26.513901,0.205602
